Name of the road segment,Exit road
Lakrishte_BillClinton_Lakrishte,BillClinton_Lakrishte_TahirZajmi
Lakrishte_BillClinton_Santea,BillClinton_Santea_Katedralja
Lakrishte_BillClinton_Tuneli,BillClinton_Tuneli
Lakrishte_BillClinton_ShtjefenGjeqovi,BillClinton_ShtjefenGjeqovi
Santea_BillClinton_Santea,BillClinton_Santea_Katedralja
Santea_BillClinton_Lakrishte,BillClinton_Lakrishte_TahirZajmi
Santea_BillClinton_ShtjefenGjeqovi,BillClinton_ShtjefenGjeqovi
Santea_BillClinton_Tuneli,BillClinton_Tuneli
Tuneli_BillClinton_ShtjefenGjeqovi,BillClinton_ShtjefenGjeqovi
Tuneli_BillClinton_Lakrishte,BillClinton_Lakrishte_TahirZajmi
Tuneli_BillClinton_Santea,BillClinton_Santea_Katedralja
ShtjefenGjeqovi_BillClinton_Tuneli,BillClinton_Tuneli
ShtjefenGjeqovi_BillClinton_Santea,BillClinton_Santea_Katedralja
ShtjefenGjeqovi_BillClinton_Lakrishte,BillClinton_Lakrishte_TahirZajmi
BillClinton_Tuneli,End_Point
BillClinton_ShtjefenGjeqovi,End_Point
BillClinton_Santea_BillClinton,Santea_BillClinton_Lakrishte
BillClinton_Santea_RobertDoll,Santea_RobertDoll
BillClinton_Santea_Katedralja,Santea_Katedralja_Menza
RobertDoll_Santea_Katedralja,Santea_Katedralja_Menza
RobertDoll_Santea_BillClinton,Santea_BillClinton_Lakrishte
Katedralja_Santea_BillClinton,Santea_BillClinton_Lakrishte
Katedralja_Santea_RobertDoll,Santea_RobertDoll
Santea_RobertDoll,End_Point
Santea_Katedralja_Santea,Katedralja_Santea_BillClinton
Santea_Katedralja_Parking,Katedralja_Parking
Santea_Katedralja_Menza,Katedralja_Menza_Qerimi
Santea_Katedralja_PTK,Katedralja_PTK_BulevardiDK
PTK_Katedralja_PTK,Katedralja_PTK_BulevardiDK
PTK_Katedralja_Santea,Katedralja_Santea_BillClinton
PTK_Katedralja_Parking,Katedralja_Parking
PTK_Katedralja_Menza,Katedralja_Menza_Qerimi
Menza_Katedralja_Menza,Katedralja_Menza_Qerimi
Menza_Katedralja_PTK,Katedralja_PTK_BulevardiDK
Menza_Katedralja_Santea,Katedralja_Santea_BillClinton
Menza_Katedralja_Parking,Katedralja_Parking
Parking_Katedralja_Parking,Katedralja_Parking
Parking_Katedralja_Menza,Katedralja_Menza_Qerimi
Parking_Katedralja_PTK,Katedralja_PTK_BulevardiDK
Parking_Katedralja_Santea,Katedralja_Santea_BillClinton
Katedralja_Parking,End_Point
Menza_Qerimi_Menza,Qerimi_Menza_Katedralja
Menza_Qerimi_HajrullahAbdullahu,Qerimi_HajrullahAbdullahu
Menza_Qerimi_EnverMaloku,Qerimi_EnverMaloku
Menza_Qerimi_Teknik,Qerimi_Teknik_FehmiLladrovci
Teknik_Qerimi_Teknik,Qerimi_Teknik_FehmiLladrovci
Teknik_Qerimi_Menza,Qerimi_Menza_Katedralja
Teknik_Qerimi_HajrullahAbdullahu,Qerimi_HajrullahAbdullahu
Teknik_Qerimi_EnverMaloku,Qerimi_EnverMaloku
EnverMaloku_Qerimi_EnverMaloku,Qerimi_EnverMaloku
EnverMaloku_Qerimi_Teknik,Qerimi_Teknik_FehmiLladrovci
EnverMaloku_Qerimi_Menza,Qerimi_Menza_Katedralja
EnverMaloku_Qerimi_HajrullahAbdullahu,Qerimi_HajrullahAbdullahu
Qerimi_HajrullahAbdullahu,End_Point
Qerimi_EnverMaloku,End_Point
Katedralja_Menza_Katedralja,Menza_Katedralja_Santea
Katedralja_Menza_MAShTI,Menza_MAShTI_Parlamenti
Katedralja_Menza_Qerimi,Menza_Qerimi_EnverMaloku
Katedralja_Menza_Teknik,Menza_Teknik_RrugaB
Teknik_Menza_Teknik,Menza_Teknik_RrugaB
Teknik_Menza_Katedralja,Menza_Katedralja_Santea
Teknik_Menza_MAShTI,Menza_MAShTI_Parlamenti
Teknik_Menza_Qerimi,Menza_Qerimi_EnverMaloku
Qerimi_Menza_Qerimi,Menza_Qerimi_EnverMaloku
Qerimi_Menza_Teknik,Menza_Teknik_RrugaB
Qerimi_Menza_Katedralja,Menza_Katedralja_Santea
Qerimi_Menza_MAShTI,Menza_MAShTI_Parlamenti
MAShTI_Menza_MAShTI,Menza_MAShTI_Parlamenti
MAShTI_Menza_Qerimi,Menza_Qerimi_EnverMaloku
MAShTI_Menza_Teknik,Menza_Teknik_RrugaB
MAShTI_Menza_Katedralja,Menza_Katedralja_Santea
TahirZajmi_Lakrishte_BillClinton,Lakrishte_BillClinton_Santea
BillClinton_Lakrishte_TahirZajmi,Lakrishte_TahirZajmi_TerminaliDoganor
