id,name,pedestrian_phase_interval,all_red_phase_interval
0,BillClinton,0,4
1,Santea,10,0
2,Katedralja,0,0
3,Teknik,0,0
4,Qerimi,17,0
5,Rruga B,20,0
6,MAShTI,0,0
7,Parlamenti,0,0
8,XhamiaLlapitTregu,16,0
9,XhamiaLlapit,18,0
10,Vranjefc,15,0
11,Tjegullorja,0,3
12,PTK,15,0
13,Lulishtja,0,0
14,BQK,0,3
15,Eulexi,0,0
16,Menza,0,0
17,KomunaRe,15,0
18,Lakrishte,30,0
19,TahirZajmi,22,0
20,TerminaliDoganor,0,0
21,TreguIMadh,0,0
22,ElezBerisha,0,0
23,RrugaEUglarit,0,0
24,HajrullahZymi,0,0
25,Tuneli,0,0
26,ShtjefenGjeqovi,0,0
27,RobertDoll,0,0
28,FehmiLladrovci,0,0
29,HajrullahAbdullahu,0,0
30,EnverMaloku,0,0
31,MaxiMarket,0,0
32,BibajSport,0,0
33,KarlGega,0,0
34,FakultetiEkonomik,0,0
35,IbrahimLutfiu,0,0
36,LidhjaPrizrenit,0,0
37,MetoBajraktari,0,0
38,Makovc,0,0
39,LidhjaLezhes,0,0
40,VellezeritFazliu,0,0
41,IsmetKrasniqi,0,0
42,Bardhosh,0,0
43,AzizZhilivoda,0,0
44,Zagrebi,0,0
45,Vushtrria,0,0
46,Plava,0,0
47,ImzotNikeprela,0,0
48,BulevardiDK,0,0
49,28Nentori,0,0
50,FehmiAgani,0,0
51,UCK,0,0
52,KolegjiRiinvest,0,0
53,Tirana,0,0
54,Garibaldi,0,0
55,UkshinHoti,0,0
56,Grandi,0,0
57,LuanHaradinaj,0,0
58,ArbenorEAstritDehari,0,0
59,ErnestKoliqi,0,0
60,MuharremFejza,0,0
61,AhmetKrasniqi,0,0
62,Cacttus,0,0
63,HotelAdria,0,0
64,FeridCurri,0,0
65,DeshmoretEPonoshecit,0,0
66,KlanKosova,0,0
67,Interex,0,0
68,KompleksiLinda3,0,0
69,RrethiRrugaEPejes,0,0
70,Dardania,0,0
71,Parking,0,0
