Start intersection ID,End intersection ID,Name of the road segment,Distance
18,0,Lakrishte_BillClinton_Lakrishte,25
18,0,Lakrishte_BillClinton_Santea,25
18,0,Lakrishte_BillClinton_Tuneli,25
18,0,Lakrishte_BillClinton_ShtjefenGjeqovi,25
1,0,Santea_BillClinton_Santea,29
1,0,Santea_BillClinton_Lakrishte,29
1,0,Santea_BillClinton_ShtjefenGjeqovi,29
1,0,Santea_BillClinton_Tuneli,29
25,0,Tuneli_BillClinton_ShtjefenGjeqovi,10
25,0,Tuneli_BillClinton_Lakrishte,10
25,0,Tuneli_BillClinton_Santea,10
26,0,ShtjefenGjeqovi_BillClinton_Tuneli,9
26,0,ShtjefenGjeqovi_BillClinton_Santea,9
26,0,ShtjefenGjeqovi_BillClinton_Lakrishte,9
0,25,BillClinton_Tuneli,10
0,26,BillClinton_ShtjefenGjeqovi,9
0,1,BillClinton_Santea_BillClinton,29
0,1,BillClinton_Santea_RobertDoll,29
0,1,BillClinton_Santea_Katedralja,29
27,1,RobertDoll_Santea_Katedralja,12
27,1,RobertDoll_Santea_BillClinton,12
2,1,Katedralja_Santea_BillClinton,35
2,1,Katedralja_Santea_RobertDoll,35
1,27,Santea_RobertDoll,12
1,2,Santea_Katedralja_Santea,35
1,2,Santea_Katedralja_Parking,35
1,2,Santea_Katedralja_Menza,35
1,2,Santea_Katedralja_PTK,35
12,2,PTK_Katedralja_PTK,48
12,2,PTK_Katedralja_Santea,48
12,2,PTK_Katedralja_Parking,48
12,2,PTK_Katedralja_Menza,48
16,2,Menza_Katedralja_Menza,35
16,2,Menza_Katedralja_PTK,35
16,2,Menza_Katedralja_Santea,35
16,2,Menza_Katedralja_Parking,35
71,2,Parking_Katedralja_Parking,11
71,2,Parking_Katedralja_Menza,11
71,2,Parking_Katedralja_PTK,11
71,2,Parking_Katedralja_Santea,11
2,71,Katedralja_Parking,11
16,3,Menza_Teknik_Menza,53
16,3,Menza_Teknik_Qerimi,53
16,3,Menza_Teknik_RrugaB,53
16,3,Menza_Teknik_FehmiLladrovci,53
28,3,FehmiLladrovci_Teknik_FehmiLladrovci,19
28,3,FehmiLladrovci_Teknik_Menza,19
28,3,FehmiLladrovci_Teknik_Qerimi,19
28,3,FehmiLladrovci_Teknik_RrugaB,19
