Name of the road segment,Number of cars
Lakrishte_BillClinton_Lakrishte,1
Lakrishte_BillClinton_Santea,149
Lakrishte_BillClinton_Tuneli,38
Lakrishte_BillClinton_ShtjefenGjeqovi,38
Santea_BillClinton_Santea,6
Santea_BillClinton_Lakrishte,142
Santea_BillClinton_ShtjefenGjeqovi,18
Santea_BillClinton_Tuneli,28
Tuneli_BillClinton_ShtjefenGjeqovi,10
Tuneli_BillClinton_Lakrishte,22
Tuneli_BillClinton_Santea,17
ShtjefenGjeqovi_BillClinton_Tuneli,18
ShtjefenGjeqovi_BillClinton_Santea,7
ShtjefenGjeqovi_BillClinton_Lakrishte,29
BillClinton_Tuneli,0
BillClinton_ShtjefenGjeqovi,0
BillClinton_Santea_BillClinton,3
BillClinton_Santea_RobertDoll,51
BillClinton_Santea_Katedralja,132
RobertDoll_Santea_Katedralja,66
RobertDoll_Santea_BillClinton,63
Katedralja_Santea_BillClinton,142
Katedralja_Santea_RobertDoll,103
Santea_RobertDoll,0
Santea_Katedralja_Santea,25
Santea_Katedralja_Parking,1
Santea_Katedralja_Menza,127
Santea_Katedralja_PTK,65
PTK_Katedralja_PTK,7
PTK_Katedralja_Santea,81
PTK_Katedralja_Parking,2
PTK_Katedralja_Menza,46
Menza_Katedralja_Menza,1
Menza_Katedralja_PTK,37
Menza_Katedralja_Santea,137
Menza_Katedralja_Parking,0
Parking_Katedralja_Parking,0
Parking_Katedralja_Menza,0
Parking_Katedralja_PTK,2
Parking_Katedralja_Santea,1
Katedralja_Parking,0
Menza_Teknik_Menza,0
Menza_Teknik_Qerimi,18
Menza_Teknik_RrugaB,43
Menza_Teknik_FehmiLladrovci,84
FehmiLladrovci_Teknik_FehmiLladrovci,0
FehmiLladrovci_Teknik_Menza,88
FehmiLladrovci_Teknik_Qerimi,53
FehmiLladrovci_Teknik_RrugaB,19
RrugaB_Teknik_RrugaB,0
RrugaB_Teknik_FehmiLladrovci,25
RrugaB_Teknik_Menza,42
RrugaB_Teknik_Qerimi,3
Qerimi_Teknik_Qerimi,0
Qerimi_Teknik_RrugaB,4
Qerimi_Teknik_FehmiLladrovci,40
Qerimi_Teknik_Menza,3
Teknik_FehmiLladrovci,0
Menza_Qerimi_Menza,0
Menza_Qerimi_HajrullahAbdullahu,4
Menza_Qerimi_EnverMaloku,53
Menza_Qerimi_Teknik,31
Teknik_Qerimi_Teknik,0
Teknik_Qerimi_Menza,27
Teknik_Qerimi_HajrullahAbdullahu,5
Teknik_Qerimi_EnverMaloku,45
EnverMaloku_Qerimi_EnverMaloku,0
EnverMaloku_Qerimi_Teknik,45
EnverMaloku_Qerimi_Menza,108
EnverMaloku_Qerimi_HajrullahAbdullahu,10
Qerimi_HajrullahAbdullahu,0
Qerimi_EnverMaloku,0
Teknik_RrugaB_Teknik,6
Teknik_RrugaB_MaxiMarket,55
Teknik_RrugaB_BibajSport,21
BibajSport_RrugaB_Teknik,28
BibajSport_RrugaB_MaxiMarket,91
MaxiMarket_RrugaB_BibajSport,105
MaxiMarket_RrugaB_Teknik,28
RrugaB_MaxiMarket,0
RrugaB_BibajSport,0
Menza_MAShTI_Menza,2
Menza_MAShTI_FakultetiEkonomik,1
Menza_MAShTI_Parlamenti,107
Menza_MAShTI_KarlGega,18
KarlGega_MAShTI_Menza,11
KarlGega_MAShTI_FakultetiEkonomik,1
KarlGega_MAShTI_Parlamenti,42
Parlamenti_MAShTI_Parlamenti,10
Parlamenti_MAShTI_KarlGega,30
Parlamenti_MAShTI_Menza,159
Parlamenti_MAShTI_FakultetiEkonomik,2
FakultetiEkonomik_MAShTI_Parlamenti,0
FakultetiEkonomik_MAShTI_KarlGega,0
FakultetiEkonomik_MAShTI_Menza,0
MAShTI_KarlGega,0
MAShTI_FakultetiEkonomik,0
XhamiaLlapitTregu_Parlamenti_IbrahimLutfiu,40
XhamiaLlapitTregu_Parlamenti_MAShTI,91
MAShTI_Parlamenti_XhamiaLlapitTregu,103
MAShTI_Parlamenti_IbrahimLutfiu,30
IbrahimLutfiu_Parlamenti_MAShTI,40
IbrahimLutfiu_Parlamenti_XhamiaLlapitTregu,49
Parlamenti_IbrahimLutfiu,0
Parlamenti_XhamiaLlapitTregu_LidhjaPrizrenit,12
Parlamenti_XhamiaLlapitTregu_XhamiaLlapit,62
Parlamenti_XhamiaLlapitTregu_MetoBajraktari,17
LidhjaPrizrenit_XhamiaLlapitTregu_XhamiaLlapit,8
LidhjaPrizrenit_XhamiaLlapitTregu_MetoBajraktari,15
LidhjaPrizrenit_XhamiaLlapitTregu_Parlamenti,3
MetoBajraktari_XhamiaLlapitTregu_Parlamenti,22
MetoBajraktari_XhamiaLlapitTregu_LidhjaPrizrenit,20
MetoBajraktari_XhamiaLlapitTregu_XhamiaLlapit,5
XhamiaLlapit_XhamiaLlapitTregu_MetoBajraktari,4
XhamiaLlapit_XhamiaLlapitTregu_Parlamenti,92
XhamiaLlapit_XhamiaLlapitTregu_LidhjaPrizrenit,15
XhamiaLlapitTregu_LidhjaPrizrenit,0
XhamiaLlapitTregu_MetoBajraktari,0
XhamiaLlapitTregu_XhamiaLlapit_LidhjaLezhes,3
XhamiaLlapitTregu_XhamiaLlapit_Tjegullorja,7
XhamiaLlapitTregu_XhamiaLlapit_VellezeritFazliu,56
XhamiaLlapitTregu_XhamiaLlapit_Makovc,17
LidhjaLezhes_XhamiaLlapit_Tjegullorja,2
LidhjaLezhes_XhamiaLlapit_VellezeritFazliu,5
LidhjaLezhes_XhamiaLlapit_Makovc,8
LidhjaLezhes_XhamiaLlapit_XhamiaLlapitTregu,5
Tjegullorja_XhamiaLlapit_VellezeritFazliu,18
Tjegullorja_XhamiaLlapit_Makovc,7
Tjegullorja_XhamiaLlapit_XhamiaLlapitTregu,13
Tjegullorja_XhamiaLlapit_LidhjaLezhes,2
VellezeritFazliu_XhamiaLlapit_Makovc,0
VellezeritFazliu_XhamiaLlapit_XhamiaLlapitTregu,56
VellezeritFazliu_XhamiaLlapit_LidhjaLezhes,4
VellezeritFazliu_XhamiaLlapit_Tjegullorja,30
Makovc_XhamiaLlapit_XhamiaLlapitTregu,11
Makovc_XhamiaLlapit_LidhjaLezhes,2
Makovc_XhamiaLlapit_Tjegullorja,13
Makovc_XhamiaLlapit_VellezeritFazliu,0
XhamiaLlapit_Makovc,0
XhamiaLlapit_LidhjaLezhes,0
XhamiaLlapit_VellezeritFazliu,0
IsmetKrasniqi_Vranjefc_AzizZhilivoda,2
IsmetKrasniqi_Vranjefc_Bardhosh,84
AzizZhilivoda_Vranjefc_Bardhosh,3
AzizZhilivoda_Vranjefc_IsmetKrasniqi,0
Bardhosh_Vranjefc_IsmetKrasniqi,106
Bardhosh_Vranjefc_AzizZhilivoda,0
