,Intersection place,Start intersection ID,End intersection ID,Name of the road segment,car,long vehicle,bus,Total vehicles,Distance (m),Distance (s),Distance with intersection (s),Travel duration prediction (Fjolla),Start Laitude,Start Longitude,End Laitude,End Longitude,Name of the lane in SUMO,Name of the edge lane in SUMO,Name of the road segment in OpenStreetMap
1,BillClinton,18,0,Lakrishte_BillClinton_Lakrishte,1,,,1,240,22,25,,42.65348173,21.14988207,42.654261,21.152657,,670507192#0,
2,BillClinton,18,0,Lakrishte_BillClinton_Santea,144,,5,149,240,22,25,,42.65348173,21.14988207,42.654261,21.152657,,670507192#0,
3,BillClinton,18,0,Lakrishte_BillClinton_Tuneli,37,,1,38,240,22,25,,42.65348173,21.14988207,42.654261,21.152657,,670507192#0,
4,BillClinton,18,0,Lakrishte_BillClinton_ShtjefenGjeqovi,37,1,,38,240,22,25,,42.65348173,21.14988207,42.654261,21.152657,,670507192#0,
5,BillClinton,1,0,Santea_BillClinton_Santea,6,,,6,280,26,29,,42.655118,21.155765,42.654261,21.152657,,732183921#2,
6,BillClinton,1,0,Santea_BillClinton_Lakrishte,134,1,7,142,280,26,29,,42.655118,21.155765,42.654261,21.152657,,732059549#1,
7,BillClinton,1,0,Santea_BillClinton_ShtjefenGjeqovi,18,,,18,280,26,29,,42.655118,21.155765,42.654261,21.152657,,732059549#1,
8,BillClinton,1,0,Santea_BillClinton_Tuneli,28,,,28,280,26,29,,42.655118,21.155765,42.654261,21.152657,,732059549#1,
9,BillClinton,25,0,Tuneli_BillClinton_ShtjefenGjeqovi,10,,,10,70,7,10,,42.653691,21.15296,42.654261,21.152657,,670325712#1,
10,BillClinton,25,0,Tuneli_BillClinton_Lakrishte,22,,,22,70,7,10,,42.653691,21.15296,42.654261,21.152657,,670325712#1,
11,BillClinton,25,0,Tuneli_BillClinton_Santea,17,,,17,70,7,10,,42.653691,21.15296,42.654261,21.152657,,670325712#1,
12,BillClinton,26,0,ShtjefenGjeqovi_BillClinton_Tuneli,18,,,18,60,6,9,,42.654629,21.152283,42.654261,21.152657,,172825275#2,
13,BillClinton,26,0,ShtjefenGjeqovi_BillClinton_Santea,7,,,7,60,6,9,,42.654629,21.152283,42.654261,21.152657,,172825275#2,
14,BillClinton,26,0,ShtjefenGjeqovi_BillClinton_Lakrishte,29,,,29,60,6,9,,42.654629,21.152283,42.654261,21.152657,,172825275#2,
15,BillClinton,0,25,BillClinton_Tuneli,,,,0,70,7,10,,42.654261,21.152657,42.653691,21.15296,,670507193#2,
16,BillClinton,0,26,BillClinton_ShtjefenGjeqovi,,,,0,60,6,9,,42.654261,21.152657,42.654629,21.152283,,-172825275#3,
17,Santea,0,1,BillClinton_Santea_BillClinton,3,,,3,280,26,29,,42.654261,21.152657,42.655118,21.155765,,,
18,Santea,0,1,BillClinton_Santea_RobertDoll,50,,1,51,280,26,29,,42.654261,21.152657,42.655118,21.155765,,732059549#1,
19,Santea,0,1,BillClinton_Santea_Katedralja,128,,4,132,280,26,29,,42.654261,21.152657,42.655118,21.155765,,732059549#1,
20,Santea,27,1,RobertDoll_Santea_Katedralja,62,1,3,66,90,9,12,,42.655878,21.155342,42.655118,21.155765,,47120917#5,
21,Santea,27,1,RobertDoll_Santea_BillClinton,60,,3,63,90,9,12,,42.655878,21.155342,42.655118,21.155765,,47120917#5,
22,Santea,2,1,Katedralja_Santea_BillClinton,140,,2,142,350,32,35,,42.655576,21.159651,42.655118,21.155765,,670754367#0,
23,Santea,2,1,Katedralja_Santea_RobertDoll,101,,2,103,350,32,35,,42.655576,21.159651,42.655118,21.155765,,670754367#0,
24,Santea,1,27,Santea_RobertDoll,,,,0,90,9,12,,42.655118,21.155765,42.655878,21.155342,,-47120917#5,
25,Katedralja,1,2,Santea_Katedralja_Santea,25,,,25,350,32,35,,42.655118,21.155765,42.655576,21.159651,,322292822#2,
