Name of the road segment,Number of cars
Lakrishte_BillClinton_Lakrishte,
Lakrishte_BillClinton_Santea,
Lakrishte_BillClinton_Tuneli,
Lakrishte_BillClinton_ShtjefenGjeqovi,1
Santea_BillClinton_Santea,
Santea_BillClinton_Lakrishte,1
Santea_BillClinton_ShtjefenGjeqovi,
Santea_BillClinton_Tuneli,
Tuneli_BillClinton_ShtjefenGjeqovi,
Tuneli_BillClinton_Lakrishte,
Tuneli_BillClinton_Santea,
ShtjefenGjeqovi_BillClinton_Tuneli,
ShtjefenGjeqovi_BillClinton_Santea,
ShtjefenGjeqovi_BillClinton_Lakrishte,
BillClinton_Tuneli,
BillClinton_ShtjefenGjeqovi,
BillClinton_Santea_BillClinton,
BillClinton_Santea_RobertDoll,
BillClinton_Santea_Katedralja,
RobertDoll_Santea_Katedralja,1
RobertDoll_Santea_BillClinton,
Katedralja_Santea_BillClinton,
Katedralja_Santea_RobertDoll,
Santea_RobertDoll,
Santea_Katedralja_Santea,
Santea_Katedralja_Parking,
Santea_Katedralja_Menza,
Santea_Katedralja_PTK,1
PTK_Katedralja_PTK,
PTK_Katedralja_Santea,
PTK_Katedralja_Parking,
PTK_Katedralja_Menza,
Menza_Katedralja_Menza,
Menza_Katedralja_PTK,
Menza_Katedralja_Santea,
Menza_Katedralja_Parking,
Parking_Katedralja_Parking,
Parking_Katedralja_Menza,
Parking_Katedralja_PTK,
Parking_Katedralja_Santea,
Katedralja_Parking,
Menza_Teknik_Menza,
Menza_Teknik_Qerimi,
Menza_Teknik_RrugaB,
Menza_Teknik_FehmiLladrovci,
FehmiLladrovci_Teknik_FehmiLladrovci,
FehmiLladrovci_Teknik_Menza,3
FehmiLladrovci_Teknik_Qerimi,1
FehmiLladrovci_Teknik_RrugaB,1
RrugaB_Teknik_RrugaB,
RrugaB_Teknik_FehmiLladrovci,
RrugaB_Teknik_Menza,
RrugaB_Teknik_Qerimi,
Qerimi_Teknik_Qerimi,
Qerimi_Teknik_RrugaB,
Qerimi_Teknik_FehmiLladrovci,
Qerimi_Teknik_Menza,
Teknik_FehmiLladrovci,
Menza_Qerimi_Menza,
Menza_Qerimi_HajrullahAbdullahu,
Menza_Qerimi_EnverMaloku,
Menza_Qerimi_Teknik,
Teknik_Qerimi_Teknik,
Teknik_Qerimi_Menza,
Teknik_Qerimi_HajrullahAbdullahu,
Teknik_Qerimi_EnverMaloku,
EnverMaloku_Qerimi_EnverMaloku,
EnverMaloku_Qerimi_Teknik,
EnverMaloku_Qerimi_Menza,
EnverMaloku_Qerimi_HajrullahAbdullahu,
Qerimi_HajrullahAbdullahu,
Qerimi_EnverMaloku,
Teknik_RrugaB_Teknik,
Teknik_RrugaB_MaxiMarket,
Teknik_RrugaB_BibajSport,
BibajSport_RrugaB_Teknik,
BibajSport_RrugaB_MaxiMarket,5
MaxiMarket_RrugaB_BibajSport,4
MaxiMarket_RrugaB_Teknik,
