Name of the road segment,Number of cars
Lakrishte_BillClinton_Lakrishte,0
Lakrishte_BillClinton_Santea,0
Lakrishte_BillClinton_Tuneli,0
Lakrishte_BillClinton_ShtjefenGjeqovi,1
Santea_BillClinton_Santea,0
Santea_BillClinton_Lakrishte,1
Santea_BillClinton_ShtjefenGjeqovi,0
Santea_BillClinton_Tuneli,0
Tuneli_BillClinton_ShtjefenGjeqovi,0
Tuneli_BillClinton_Lakrishte,0
Tuneli_BillClinton_Santea,0
ShtjefenGjeqovi_BillClinton_Tuneli,0
ShtjefenGjeqovi_BillClinton_Santea,0
ShtjefenGjeqovi_BillClinton_Lakrishte,0
BillClinton_Tuneli,0
BillClinton_ShtjefenGjeqovi,0
BillClinton_Santea_BillClinton,0
BillClinton_Santea_RobertDoll,0
BillClinton_Santea_Katedralja,0
RobertDoll_Santea_Katedralja,1
RobertDoll_Santea_BillClinton,0
Katedralja_Santea_BillClinton,0
Katedralja_Santea_RobertDoll,0
Santea_RobertDoll,0
Santea_Katedralja_Santea,0
Santea_Katedralja_Parking,0
Santea_Katedralja_Menza,0
Santea_Katedralja_PTK,1
PTK_Katedralja_PTK,0
PTK_Katedralja_Santea,0
PTK_Katedralja_Parking,0
PTK_Katedralja_Menza,0
Menza_Katedralja_Menza,0
Menza_Katedralja_PTK,0
Menza_Katedralja_Santea,0
Menza_Katedralja_Parking,0
Parking_Katedralja_Parking,0
Parking_Katedralja_Menza,0
Parking_Katedralja_PTK,0
Parking_Katedralja_Santea,0
Katedralja_Parking,0
Menza_Teknik_Menza,0
Menza_Teknik_Qerimi,0
Menza_Teknik_RrugaB,0
Menza_Teknik_FehmiLladrovci,0
FehmiLladrovci_Teknik_FehmiLladrovci,0
FehmiLladrovci_Teknik_Menza,3
FehmiLladrovci_Teknik_Qerimi,1
FehmiLladrovci_Teknik_RrugaB,1
RrugaB_Teknik_RrugaB,0
RrugaB_Teknik_FehmiLladrovci,0
RrugaB_Teknik_Menza,0
RrugaB_Teknik_Qerimi,0
Qerimi_Teknik_Qerimi,0
Qerimi_Teknik_RrugaB,0
Qerimi_Teknik_FehmiLladrovci,0
Qerimi_Teknik_Menza,0
Teknik_FehmiLladrovci,0
Menza_Qerimi_Menza,0
Menza_Qerimi_HajrullahAbdullahu,0
Menza_Qerimi_EnverMaloku,0
Menza_Qerimi_Teknik,0
Teknik_Qerimi_Teknik,0
Teknik_Qerimi_Menza,0
Teknik_Qerimi_HajrullahAbdullahu,0
Teknik_Qerimi_EnverMaloku,0
EnverMaloku_Qerimi_EnverMaloku,0
EnverMaloku_Qerimi_Teknik,0
EnverMaloku_Qerimi_Menza,0
EnverMaloku_Qerimi_HajrullahAbdullahu,0
Qerimi_HajrullahAbdullahu,0
Qerimi_EnverMaloku,0
Teknik_RrugaB_Teknik,0
Teknik_RrugaB_MaxiMarket,0
Teknik_RrugaB_BibajSport,0
BibajSport_RrugaB_Teknik,0
BibajSport_RrugaB_MaxiMarket,5
MaxiMarket_RrugaB_BibajSport,4
MaxiMarket_RrugaB_Teknik,0
RrugaB_MaxiMarket,0
RrugaB_BibajSport,0
Menza_MAShTI_Menza,0
Menza_MAShTI_FakultetiEkonomik,0
Menza_MAShTI_Parlamenti,2
Menza_MAShTI_KarlGega,0
KarlGega_MAShTI_Menza,0
KarlGega_MAShTI_FakultetiEkonomik,0
KarlGega_MAShTI_Parlamenti,0
